"","ID","Centrality"
"1","CLP",0.569593977021429
"2","GAL",0.759647192752782
"3","GMM",0.794992489487865
"4","GIL",0.989331589121297
"5","GIS",0.853675089908695
"6","GIT",0.824196292130866
"7","GDV",0.869421198344931
"8","GRE",0.767494761788783
"9","GAE",0.757637816856781
"10","GDW",0.669023072157909
"11","GIP",0.939381492187959
"12","GOO",0.870487454149073
"13","GSP",0.825318414374777
"14","GIN",0.658118037455703
"15","GIZ",0.952542478369558
"16","GRM",0.904705458061778
"17","GOR",0.905714880098851
"18","GAB",0.89542748313203
"19","GEM",0.902527101732194
"20","GNG",0.942431243699749
"21","GRY",0.888223865252065
"22","GUS",1
"23","GNO",0.888270705998719
